Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
Kien Long Bank;23.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"['tốt nghiệp đại học/cao đẳng chuyên ngành công nghệ thông tin/điện tử viễn thông;', 'hiểu biết tổng quát về ngân hàng', 'kiến thức chuyên môn:', 'kinh nghiệm chuyên môn:', 'hệ thống cơ sở dữ liệu oracle', 'hệ thống oracle middleware.', 'hệ điều hành windows, linux, unix, sun', 'hệ thống ảo hóa.', 'sử dụng các công cụ pl/sql', 'kiến thức tổng quát về hệ thống và hạ tầng cntt.', 'quản trị hệ thống cơ sở dữ liệu oracle.', 'quản trị hệ thống middleware.', 'vận hành các hệ điều hành windows, linux, unix, sun', 'vận hành hệ thống ảo hóa.', 'sử dụng các công cụ pl/sql', 'tối thiểu 2 năm kinh quản trị và vận hành các hệ thống liên quan.']";https://itviec.com/viec-lam-it/chuyen-vien-quan-tri-csdl-database-administrator-kien-long-bank-2758?lab_feature=preview_jd_page
Lotte Data Communicaton Co., Ltd Vietnam;38.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;['\nexperience:\ngraduated from college/university majoring in it or related majors\nmore than\xa03\xa0year\xa0experience\xa0in equivalent positions\nexperienced in writing technical documents, workflows\n\n', 'graduated from college/university majoring in it or related majors', 'more than\xa03\xa0year\xa0experience\xa0in equivalent positions', 'experienced in writing technical documents, workflows', '\nlanguage:good english skills (reading, writing)', '\nskill:\n3+ years of work experience on oracle19c and sql-server\nexperience in database optimization and database analyzer\nexperience in design and development of dbms with structured data\xa0\nunderstanding & experience in data structure, algorithm, distributed service\nknowledge in data structure\nocp, mcdba license holders\nproficient in optimization and system analyzer\n\n', '3+ years of work experience on oracle19c and sql-server', 'experience in database optimization and database analyzer', 'experience in design and development of dbms with structured data\xa0', 'understanding & experience in data structure, algorithm, distributed service', 'knowledge in data structure', 'ocp, mcdba license holders', 'proficient in optimization and system analyzer', '\nacknowledgments: big data design and development experience preferred.'];https://itviec.com/viec-lam-it/back-end-developer-oracle-db-up-to-1800-lotte-data-communicaton-co-ltd-vietnam-0331?lab_feature=preview_jd_page
HCL Vietnam Company Limited;66.0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['nice to have• rust, golang or java programming• tertiary qualification with a focus on software development, and the relevant aws cloud certifications (data speciality preferred)• have consulting and influencing skills.'];https://itviec.com/viec-lam-it/lead-data-engineer-aws-hybrid-working-hcl-vietnam-company-limited-1052?lab_feature=preview_jd_page
Osprey Technology;58.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;['bachelors in electrical, computer engineering or equivalent.\xa0', '3+ years of experience in fpga development including hdl code development, simulation, test bench development, synthesis, and timing closure.', 'highly proficient in hdls like verilog and systemverilog (or vhdl).', 'proficient in c or c++ programming language.', 'experience with xilinx or intel fpga toolchain.', 'strong embedded system development experience in cpu and fpga-based devices such as xilinx zynq or intel arria devices.', 'familiar with hls, vivado, and vitis tools.', 'familiarity with dsp and algorithms development', 'experience with leading verification methodologies like uvm.', 'experience using best practices with version control technologies such as git', 'experienced linux user.', 'proficient in some scripting languages such as tcl, python, and bash.', 'experience with industrial safety systems.', 'experience with functional safety development processes.', 'bachelors in electrical, computer engineering or equivalent.\xa0', '3+ years of experience in fpga development including hdl code development, simulation, test bench development, synthesis, and timing closure.', 'highly proficient in hdls like verilog and systemverilog (or vhdl).', 'proficient in c or c++ programming language.', 'experience with xilinx or intel fpga toolchain.', '\nstrong embedded system development experience in cpu and fpga-based devices such as xilinx zynq or intel arria devices.familiar with hls, vivado, and vitis tools.\n', 'familiarity with dsp and algorithms development', 'experience with leading verification methodologies like uvm.', 'experience using best practices with version control technologies such as git', 'experienced linux user.', 'proficient in some scripting languages such as tcl, python, and bash.', 'experience with industrial safety systems.', 'experience with functional safety development processes.'];https://itviec.com/viec-lam-it/fpga-engineer-up-to-4000-osprey-technology-2046?lab_feature=preview_jd_page
Công ty Cổ phần Chứng khoán KIS Việt Nam;38.0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;"['ability to research independently, make timely decisions.', 'graduated university about it', '2+ years of experience about db (oracle, mysql, postgresql, couchbase, …)', '2+ years of experience about system (unix, linux, …)', 'has dba certification such as oracle oca, ocp, ocm, db2, mysql, mcsa, mcse data platform,..', 'ability to read and understand english technical documents correctly', 'ablility to good in teamwork', 'has work organization skills, keep calm to handle and solve problems in case of ""data disaster""', 'dynamic, enthusiastic, not afraid of difficulties', 'honest, careful, accurate', 'ability to research independently, make timely decisions.']";https://itviec.com/viec-lam-it/database-admin-oracle-linux-cong-ty-co-phan-chung-khoan-kis-viet-nam-5644?lab_feature=preview_jd_page
Edupia - Top Edtech Companies;81.5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;"[""- requires a bachelor's/master's degree in computer science, mathematics, engineering or equivalent\xa0- significant (5 years +) experience in ai, data science and its ethical impact/policy implications\xa0- significant experience of recruiting, establishing and managing a data science / ai team\xa0- significant experience of developing a data strategy and data governance approach\xa0- significant experience of designing, developing, deploying and managing algorithms, models, and model management approaches\xa0- significant experience of delivering machine learning and data analysis projects. generating data insights and ethical and responsible use impact assessments\xa0- experience of the latest privacy preserving machine learning techniques and related technologies\xa0- experience of developing new approaches to managing and mitigating ethical and responsible use issues with ai and data\xa0- experience of writing business cases, strategies, roadmaps and presenting to senior stakeholders at c-suite level\xa0job skills:\xa0research skills, analytical abilities, problem-solving strengths, communication skills, computer abilities, organizational strengths, skills in time management and teamwork building\xa0technical skills:\xa0- good at machine learning algorithms even from new papers and able to implement its algorithms ( is an advantage)\xa0- proficient with multiple ai tools such as python, go, java, r, machine learning framework like spark, tensorflow, or sciket-learn. (must have)\xa0- design and develop ai solutions: image processing, nlp, recommendation (must have with saas)\xa0- experience and very good with nlp (must have)\xa0- able to solve ed-tech's complex problems with ml/dl\xa0- excellent analytical skills, data presentation skills and data visualisation ability\xa0- excellent technical skills in a related field/discipline – with the ability to write and interpret code, and explain code to non-coders\xa0- experience of designing and deploying distributed compute services\xa0- knowledge of threat and risk assessment processes and practices\xa0- excellent written and verbal communication and presentation skills including the ability to explain technical matters to a nontechnical audience, at c-suite level""]";https://itviec.com/viec-lam-it/ai-team-leader-python-golang-java-sql-edupia-top-edtech-companies-5014?lab_feature=preview_jd_page
Linagora;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1;['3+ years’ experience in mobile software development (android, ios, or flutter)', 'familiarity with restful apis to connect applications to back-end services', 'knowledge of other web technologies and ui/ux standards', 'understanding of state management approaches', 'proficient understanding of code versioning tools', 'familiarity with cloud message apis and push notifications', 'strong oo design and skills in functional programming, reactive programming', 'good communication\xa0in english, french is a plus', 'please send cv in english', '3+ years’ experience in mobile software development (android, ios, or flutter)', 'familiarity with restful apis to connect applications to back-end services', 'knowledge of other web technologies and ui/ux standards', 'understanding of state management approaches', 'proficient understanding of code versioning tools', 'familiarity with cloud message apis and push notifications', 'strong oo design and skills in functional programming, reactive programming', 'good communication\xa0in english, french is a plus', 'please send cv in english'];https://itviec.com/viec-lam-it/flutter-mobile-apps-developer-android-ios-up-to-2000-linagora-1259?lab_feature=preview_jd_page
Nal Việt Nam & Nal Global Career;22.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;"['bạn cần có:\xa0', 'ưu tiên:\xa0', 'có ít nhất 2 năm kinh nghiệm trong test manual (web testing, api, mobile testing).\xa0', 'có khả năng tạo test plan, testcase và execute test.\xa0', 'thành thạo kỹ thuật test ở mức độ function testing (unit test, integration test, system test)', 'có kinh nghiệm về non function testing (performance testing, security testing,…).\xa0', 'có thể đọc hiểu, phân tích tài liệu design của dự án.\xa0', 'có kiến thức về kiến trúc hệ thống và có thể test được.\xa0', 'tiếng nhật tối thiểu n4.\xa0', 'có background về lập trình; có khả năng đọc hiểu nghiệp vụ hệ thống.\xa0', 'có khả năng làm việc độc lập và teamwork tốt.\xa0', 'ưu tiên có kinh nghiệm làm các dự án agile.']";https://itviec.com/viec-lam-it/manual-tester-test-qa-qc-japanese-nal-viet-nam-nal-global-career-2537?lab_feature=preview_jd_page
Scandinavian Software Park;46;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;['you will develop and maintain a stable and reliable automated testing pipeline for umbraco’s open source cms and related products and services. part of this is to ensure the new versions of umbraco works perfectly on the umbraco cloud hosting platform.', '\xa0', 'you will develop and maintain a stable and reliable automated testing pipeline for umbraco’s open source cms and related products and services. part of this is to ensure the new versions of umbraco works perfectly on the umbraco cloud hosting platform.', 'what you will be working on:', '\xa0', 'this position offers you a unique opportunity to work with open source and help ensure the stability of products reaching thousands of customers and live websites.', 'what we expect from you:', 'ensure high quality of released products', 'identification of most valuable areas to cover with automated tests', 'become an expert in our products and learn our customers’ needs and workflows', 'automate end-to-end testing', 'automate integration testing', 'automate load testing', 'relevant software engineering degree', 'at least 5 years of professional experience in software testing', 'ideally istqb certifications', 'required knowledge in these technologies:\nc#\njavascript\ngit\n\n', 'c#', 'javascript', 'git', 'bonus if you have knowlege with the following technologies:\nnunit\nplaywright\nsqlite\nmssql – microsoft sql\nazure devops – ci/cd\nazure load testing\n\n', 'nunit', 'playwright', 'sqlite', 'mssql – microsoft sql', 'azure devops – ci/cd', 'azure load testing', 'familiarity with working in distributed teams', 'a high level of written and spoken english'];https://itviec.com/viec-lam-it/test-automation-engineer-c-javascript-scandinavian-software-park-3755?lab_feature=preview_jd_page
Emerhub;58.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;"['must-have:', 'nice-to-have:', 'a bachelor’s degree in computer science, software engineering, or a related field; or an equivalent from a university or accredited college', 'good english communication skills', 'excellent c# programming skills — at least 2+ years of experience in a professional work environment', 'confidence working in unity engine — 2+ years of professional experience experience in android or ios development (2+ years)', 'proven capability of taking on technical responsibility for a product or project', 'passion for game development!\xa0', 'links to personal projects/games you’ve developed experience as a programmer/developer in the gaming industry experience working with content pipelines', 'experience in working with memory/performance-critical applications\xa0']";https://itviec.com/viec-lam-it/unity-game-developer-c-android-ios-up-to-3000-usd-emerhub-5138?lab_feature=preview_jd_page
