Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
Công Ty Cổ Phần Công Nghệ Just-In-Time Solutions;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"['• tham gia nghiên cứu, phát triển sản phẩm phần mềm trong lĩnh vực ngân hàng và tài chính: core banking; e-banking; e-wallet; data warehouse…', '• làm việc onsite dài hạn tại myanmar (khoảng 6 tháng đến 1 năm)• hỗ trợ khách hàng triển khai sản phẩm: tiếp nhận yêu cầu, kiểm tra lỗi, sửa lỗi dữ liệu, sửa lỗi phát sinh trong quá trình khách hàng vận hành và sử dụng sản phẩm;']";https://jobsgo.vn/viec-lam/developer-onsite-myanmar-up-to-2000-15402591805.html
Công Ty Cổ Phần Hệ Thống Y Tế Smedicare;20.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[' mảng data: (70%)', ' phần hạ tầng/it support: (30%)', '- tham gia xây dựng và quản trị các hệ thống danh mục, master data. tham gia cấu trúc, chuẩn hóa các luồng dữ liệu', '- kết nối dữ liệu giữa các hệ thống crm, hệ thống kcb và các nền tảng khách hàng khác', '- thiết lập các chỉ số tracking kinh doanh/mkt hàng tuần, hàng tháng, đưa ra cảnh báo và dự báo', '- triển khai xây dựng và tự động hóa hệ thống báo cáo, chi tiết cho ban giám đốc công ty và các cấp quản lý để theo dõi hiệu suất và công việc kinh doanh, vận hành', '- sử dụng các công cụ bi (power bi, data studio…) để thiết kế hệ thống báo cáo cho các bộ phận kinh doanh và vận hành trong công ty.', '- đề xuất các công cụ, các cấu trúc và luồng dữ liệu hoặc phương án nâng cao việc tự động hóa và tính chính xác của báo cáo', '- hỗ trợ nhân sự dưới cơ sở trong việc quản lý, phân chia đầu việc vận hành', '- thẩm định các phương án đề xuất về dịch vụ công nghệ, hạ tầng, thiết bị', '- định hướng nhân sự it dưới cơ sở dưới góc độ data', '- tham gia xây dựng và quản trị các hệ thống danh mục, master data. tham gia cấu trúc, chuẩn hóa các luồng dữ liệu', '- kết nối dữ liệu giữa các hệ thống crm, hệ thống kcb và các nền tảng khách hàng khác', '- thiết lập các chỉ số tracking kinh doanh/mkt hàng tuần, hàng tháng, đưa ra cảnh báo và dự báo', '- triển khai xây dựng và tự động hóa hệ thống báo cáo, chi tiết cho ban giám đốc công ty và các cấp quản lý để theo dõi hiệu suất và công việc kinh doanh, vận hành', '- sử dụng các công cụ bi (power bi, data studio…) để thiết kế hệ thống báo cáo cho các bộ phận kinh doanh và vận hành trong công ty.', '- đề xuất các công cụ, các cấu trúc và luồng dữ liệu hoặc phương án nâng cao việc tự động hóa và tính chính xác của báo cáo', '- hỗ trợ nhân sự dưới cơ sở trong việc quản lý, phân chia đầu việc vận hành', '- thẩm định các phương án đề xuất về dịch vụ công nghệ, hạ tầng, thiết bị', '- định hướng nhân sự it dưới cơ sở dưới góc độ data'];https://jobsgo.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-data-15396250412.html
Công Ty TNHH Giải Pháp Công Nghệ Gia Cát;17.5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- tham gia xây dựng và phát triển ứng dụng erp sẵn có của công ty (oracle apex) bằng các ngôn ngữ js, pl/sql, html, css', '- tham gia trực tiếp vào dự án của công ty, hiểu và phân tích các yêu cầu cụ thể từ đội dự án.', '- nhận các đầu mục công việc theo sự phân công của trưởng nhóm, trưởng phòng.', '- kiểm tra chất lượng, logic các phần đã lập trình, hoặc được phân công.', '- đọc hiểu tài liệu kỹ thuật. viết tài liệu logic, đặc tả để bàn giao hoặc lưu trữ.', '- kết nối với các hệ thống bên ngoài thông qua api nếu có yêu cầu', '- ', 'tham gia xây dựng và phát triển ứng dụng erp sẵn có của công ty (oracle apex) bằng các ngôn ngữ js, pl/sql, html, css', '- ', 'tham gia trực tiếp vào dự án của công ty, hiểu và phân tích các yêu cầu cụ thể từ đội dự án.', '- ', 'nhận các đầu mục công việc theo sự phân công của trưởng nhóm, trưởng phòng.', '- ', 'kiểm tra chất lượng, logic các phần đã lập trình, hoặc được phân công.', '- ', 'đọc hiểu tài liệu kỹ thuật. viết tài liệu logic, đặc tả để bàn giao hoặc lưu trữ.', '- ', 'kết nối với các hệ thống bên ngoài thông qua api nếu có yêu cầu'];https://jobsgo.vn/viec-lam/tphcm-chuyen-vien-lap-trinh-he-thong-back-end-cho-phan-mem-erp-15389284385.html
Công ty TNHH Công nghệ F2;11.0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"['cùng giám đốc sản phẩm tham gia vào việc hình thành và tạo ra các sản phẩm web quản trị doanh nghiệp', 'tham gia phối hợp cùng với nhân sự thiết kế đồ họa để hiện thực hóa những bản mẫu', 'tham gia xây dựng các api của hệ thống phần mềm để tích hợp với các đơn vị bên ngoài hoặc các mục đích phát triển riêng.', 'tham gia fix bugs và hỗ trợ khách hàng;', 'tham gia phối hợp cùng với các đơn vị đối tác, khách hàng để tìm hiểu nhu cầu và phát triển thêm theo yêu cầu của khách hàng', 'được đào tạo sử dụng các công cụ của các hãng thứ 3 như: telerik, devexpress, synfusion để làm giao diện và báo cáo', 'tham gia nghiên cứu và trình bày các công nghệ mới;', 'tham gia khóa đào tạo chuyên sâu về lập trình web trên nền tảng .net, .net core']";https://jobsgo.vn/viec-lam/nhan-vien-ho-tro-trien-khai-lap-trinh-15380987616.html
Công Ty TNHH Giải Pháp Phần Mềm Sey;17.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['design, develop and oversee the implementation of a range of different software subsystems / web services', 'take the ownership of the project, monitor / track the progress of the prioritized topics, serve requests across other departments', 'monitor and measure changes to subsystems / services to identify problems and possible improvements', 'ensure well documented subsystem, services and api descriptions', 'ensure test and health monitoring is an intrinsic part of any design to ensure visibility of problems and aid in fast detection and diagnostics of issues', 'adept at working in a dynamic, fast paced, team environment with the ability to manage multiple time constrained projects.top 3 reasons to join us', 'upgrade your technical skills with experts.', 'flexible working time & place.', 'attractive salary and benefits.', 'job description'];https://jobsgo.vn/viec-lam/nhan-vien-net-developer-15369513361.html
Công Ty TNHH Phần Mềm Sao Sài Gòn - Chi nhánh Hà Nội;29.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['tham dự các buổi daily meeting', 'lập trình (viết code) và review code', 'tham gia phát triển các sản phẩm của công ty.', 'tham gia phát triển các hệ thống quản trị học tập: lms, elearning tools.', 'tham gia trực tiếp vào việc phân tích, thiết kế hệ thống.'];https://jobsgo.vn/viec-lam/lap-trinh-vien-15343591050.html
Công Ty TNHH Paraline Việt Nam;25.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- tham gia phát triển các hệ thống web cho ngân hàng', '- tham gia phát triển các hệ thống quản lý cho ngân hàng trên nền tảng java', '- thực hiện lập trình các sản phẩm, dịch vụ theo yêu cầu.', '- nghiên cứu và cập nhật các kiến thức mới hỗ trợ cho công việc.', '- làm việc nhóm hoặc độc lập, giao tiếp với cấp trên và thành viên liên quan đến công việc'];https://jobsgo.vn/viec-lam/java-developer-du-an-ngan-hang-15331329213.html
Công ty TNHH Phần mềm Hoàn Cầu – Gsoft;20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['tìm hiểu, làm quen với nền tảng công nghệ, chuẩn code, sản phẩm phần mềm của công ty (chuyên về phần mềm quản lý tài sản cho ngân hàng, tập đoàn,...)', 'phát triển, hiện thực các yêu cầu đã tiếp nhận.', 'xây dựng, phát triển website bằng .net core / .net mvc', 'sử dụng microsoft sql server / oracle thiết kế cơ sở dữ liệu, viết query truy xuất dữ liệu phục vụ cho việc xây dựng api.', 'tham gia dự án với các kỹ năng:- csharp, .net- svn, git- restful apicó cơ hội trở thành lập trình viên fullstack nếu có khả năng xử lý cả về phần front-end và back-end.', 'có thể làm việc, triển khai, hỗ trợ trực tiếp khách hàng.', 'sẵn sàng tham gia các dự án onsite.'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-net-15321959703.html
Công ty TNHH Phần mềm Hoàn Cầu – Gsoft;11.5;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['tìm hiểu, làm quen với sản phẩm phần mềm của công ty (phần mềm quản lý tài sản, bảo hiểm, nhân sự... cho ngân hàng, doanh nghiệp,...).', 'tổ chức, thực hiện kiểm thử sản phẩm.', 'chịu trách nhiệm chung về công việc kiểm thử trong các dự án được phân công.', 'thực hiện kiểm thử, ghi nhận kết quả kiểm thử, theo dõi việc xử lý lỗi và báo cáo tiến độ kiểm thử', 'thực hiện test, log bug và theo dõi tiến độ fix bug.', 'có thể làm việc, triển khai, hỗ trợ trực tiếp khách hàng.', 'sẵn sàng tham gia các dự án onsite.'];https://jobsgo.vn/viec-lam/nhan-vien-quality-control-tester-15321348648.html
Công Ty Cổ Phần Helistudio;30;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- lập trình game server bằng ngôn ngữ java.', '- phát triển và tối ưu hóa hệ thống game sẵn có.', '- thiết kế và phát triển hệ thống cms admin.', '- bảo trì và vận hành các hệ thống hiện có', '- kết nối api đến các bên thứ 3'];https://jobsgo.vn/viec-lam/java-game-server-15303967528.html
