Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
Công Ty TNHH Công Nghệ Dịch Vụ Giao Dịch;34.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;['- bằng cử nhân về cntt / khoa học máy tính.', <p>- Có ít nhất 1 năm kinh nghiệm với tư cách là Nhà phát triển back end.</p>, <p>- Kiến thức về các ngôn ngữ lập trình Java và nền tảng OOP, DBMS phổ biến như DB2, Oracle, PostgresSQL hoặc NoSQL.</p>, <p>- Có kinh nghiệm làm việc với Git và SVN.</p>, <p>- Trải nghiệm hoặc tiếp xúc với các công cụ như Jira, Jenkins, Ant, Maven.</p>, <p>- Kiến thức làm việc với các ngôn ngữ scripting trên môi trường Linux.</p>, <p>- Ưu tiên có kinh nghiệm về hệ thống phần mềm tài chính, chứng khoán.</p>, <p>- Hiểu biết về các dịch vụ API (Restful và SOAP/XML</p>, <p>- Có khả năng sử dụng tiếng Anh.</p>];https://www.topcv.vn/viec-lam/backend-developer-upto-2000-ho-chi-minh-tu-1-nam-kinh-nghiem/914594.html?ta_source=JobSearchList
Công ty Cổ phần Hệ thống Công nghệ ETC;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;"['trình độ học vấn: tốt nghiệp cao đẳng trở lên thuộc chuyên ngành công nghệ thông tin hoặc các ngành liên quan;', <li>Có trên 3 năm kinh nghiệm làm việc với Java,</li>, <li>Có kinh nghiệm xây dựng ứng dụng Microservice là 1 lợi thế,</li>, <li>Sử dụng thành thạo ít nhất 1 hệ quản trị cơ sở dữ liệu như: Oracle, MySQL, PostgreSQL, Mongo, …</li>, <li>Có tinh thần trách nhiệm trong công việc, tinh thần tập thể cao;</li>, <li>Có kinh nghiệm quản lý nhóm</li>, <li>Chủ động tìm hiểu, học hỏi các công nghệ mới áp dụng vào dự án.</li>]";https://www.topcv.vn/viec-lam/java-developer-upto-35m/914527.html?ta_source=JobSearchList
Công Ty TNHH LG CNS VIỆT NAM;50;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;['- có ít nhất 1 năm kinh nghiệm (ưu tiên kinh nghiệm cao)\n', '- có kinh nghiệm phát triển ứng dụng web/mobile\n', '- có thể phát triển html, css, javascript, jquery\n', '- có thể phát triển dựa trên spa (vue.js, vuex)\n', '- có kinh nghiệm với các công cụ cộng tác như git, jira và confluence\n', '- hiểu và sử dụng ci/cd\n', '(ưu tiên với các bạn sau)\n', '- hiểu về back-end\n', '- sử dụng được typescript\n', '- có kinh nghiệm với node.js\n', '- có kinh nghiệm với biểu đồ javascript (echarts, chart.js, d3js, v.v.)\n', '- kinh nghiệm sử dụng tailwind, mui\n', '- kinh nghiệm phát triển oauth\n', '- giao tiếp tiếng hàn', '\n', '\n'];https://www.topcv.vn/viec-lam/front-end-engineer-fe-kinh-nghiem-tu-3-nam-tro-len/1043081.html?ta_source=JobSearchList
Công ty ZIGExN VeNtura;26.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;"['1. education\n', '-\tgraduated from college/university in information technology/computer.\n', <p>-	At least 2 years experience as a Web Developer.
</p>, <p>2. TECHNICAL EXPERIENCES
</p>, <p>● MUST HAVE
</p>, <p>-	Experience in working with NodeJS (ExpressJS/ NestJS), VueJS.
</p>, <p>-	Experience in SQL/noSQL databases such as MySQL, PostgreSQL, Oracle, MongoDB, etc.
</p>, <p>-	Strong analytical, problem-solving abilities and testing mindset.
</p>, <p>-	Good at personal management skills, support other members and can do code reviews.
</p>, <p>-	Strong teamwork, interpersonal and communication skills.
</p>, <p>-	Highly motivated, client service mindset.
</p>, <p>-	Willing to learn new things and a “can-do” attitude.
</p>, <p>● NICE TO HAVE
</p>, <p>-	Experience in working with Python, PHP, Go is a plus.
</p>, <p>-	Experience in working and configuring with Docker.
</p>, <p>-	Knowledge of working and configuring with Web Server such as Apache, Nginx.
</p>, <p>-	Knowledge of Elastics Search, Solr.
</p>, <p>-	Knowledge of Cloud services such as GCP, AWS.
</p>, <p>● LANGUAGE SKILLS
</p>, <p>-	Communicate basically in English (writing, reading)
</p>, <p><br/></p>, <p>
</p>, <p>
</p>, <p>
</p>]";https://www.topcv.vn/viec-lam/backend-developer-nodejs-nestjs-vuejs-ha-noi-ho-chi-minh/1039487.html?ta_source=JobSearchList
CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC THÀNH PHÁT;20.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;['1.\thiểu biết về kiến trúc ứng dụng mobile của android hoặc ios ,kiến trúc ứng dụng và cách thức ứng dụng hoạt động.\n', '2.\tcó kỹ năng dùng firebase analytic để phân tích và tối ưu ứng dụng.\n', '3.\tcó kinh nghiệm làm việc với loại rest, json, notification.\n', '4.\tcó kiến thức tốt về ui/ux,thành thạo trong việc xây dựng giao diện cho ứng dụng\n', '5.\tsử dụng git thành thạo\n', 'ưu tiên\n', '6.\tđã tham gia ít nhất 1 dự án với vai trò chính\n', '7.\tưu tiên các bạn đã quen với react native. (có thời gian làm quen 3 tuần nếu cần chuyển từ các nền tảng khác như android native/ ios native)\n', '8.\tcó khả năng giao tiếp tốt, trách nhiệm và ý thức chung làm việc nhóm.\n', '9.\tđọc hiểu tiếng anh tốt.'];https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile/1042434.html?ta_source=JobSearchList
CÔNG TY CỔ PHẦN ADVANCE TECH VIỆT NAM;30.5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;['yêu cầu chung:- tốt nghiệp đh chuyên ngành cntt và đtvt hoặc tương đương- có ít nhất 2 năm kinh nghiệm.- đam mê công nghệ, nắm \xa0vững ngôn ngữ java, oop- có kiến thức làm việc với javascript, jquery, html/css, kiến thức spring boot, spring mvc, spring security, kafka… \xa0 \xa0\xa0- có kinh nghiệm với csdl như mysql , oracle…có kinh nghiệm phát triển web service ( restful apis, json/xml).- có tư duy logic khả năng xử lý tình huống tốt, cẩn thận, trách nhiệm cao trong công việc.- có khả năng làm việc độc lập, làm việc nhóm.có thể đọc hiểu tài liệu tiếng anh là một lợi thế.- ưu tiên ứng viên hiểu biết về angular là lợi thế.- sử dụng công cụ quản lý mã nguồn git. sẵn sàng học tập các ngôn ngữ, framework mới.kỹ năng mềm:- kỹ năng làm việc nhóm hiệu quả, kỹ năng giải quyết vấn đề- trung thực, có tinh thần trách nhiệm cao, chủ động sáng tạo trong công việc.'];https://www.topcv.vn/viec-lam/lap-trinh-java-upto-2000/1031968.html?ta_source=JobSearchList
CÔNG TY CỔ PHẦN CÔNG NGHỆ TRINITY;46;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;"['education and experiences\n', '•\tuniversity degree in computer sciences, or equivalent\n', <p>•	IT knowledge-base and current IT technologies
</p>, <p><b><i>•	3+ years’ experience as a software engineer in a complex, enterprise-level development environment.
</i></b></p>, <p><b>Qualifications
</b></p>, <p>•	Solid experience in .Net development using .Net Core, C#, and related technologies.
</p>, <p>•	Strong knowledge of SQL Server and database design concepts
</p>, <p>•	Experience in designing &amp; developing RESTful APIs and microservices-based system.
</p>, <p>•	Experience with distributed, event-driven systems and using messaging protocols. Messaging middleware such as Apache Kafka preferred.
</p>, <p>•	Experience in Cloud computing (AWS, Azure, etc.)
</p>, <p>•	Practical experience in Containers (EKS/AKS/GKE, Kubernetes, Docker) and FaaS (AWS Lambda) technologies.
</p>, <p>•	Having experience with Docker
</p>, <p>•	Experience in working with agile/scrum methodology.
</p>, <p>•	Having experience of any front-end framework, e.g., Angular/React/VueJS</p>]";https://www.topcv.vn/viec-lam/senior-net-developer/1022792.html?ta_source=JobSearchList
CÔNG TY CỔ PHẦN CÔNG NGHỆ HỆ SINH THÁI SỐ HAHAHO;22.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;"['•\ttốt nghiệp cao đẳng trở lên chuyên ngành công nghệ thông tin, công nghệ phần mềm, hệ thống thông tin…\n', <p>•	Nam/nữ, độ tuổi từ 25 đến 35.
</p>, <p>•	Có ít nhất 1 năm kinh nghiệm lập trình trên nền tảng dotnet 6+, sử dụng entity framework core và xây dựng kiến trúc microservices.
</p>, <p>•	Nắm vững HTML, CSS, JS. Am hiểu cơ bản về ReactJs
</p>, <p>•	Có kinh qua các dự án có liên quan đến DDD, CQRS, MVC, MVVM, multi tenancy, distributed cache, event sourcing, gRPC, Dapr, Rabbit MQ, ELK, project Tye, API gateway, single sign one (OpenId Dictionary), ...
</p>, <p>•	Có khả năng làm việc độc lập, kỹ năng làm việc nhóm, chịu được áp lực cao.
</p>, <p>•	Ham học hỏi, không ngại khó, có tinh thần cầu tiến
</p>, <p>•	Thân thiện, hòa đồng, vui vẻ.
</p>, <p><br/></p>]";https://www.topcv.vn/viec-lam/lap-trinh-vien-dotnet-thu-nhap-tu-15-30-trieu/1025519.html?ta_source=JobSearchList
TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI;44.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;['• tốt nghiệp đại học loại khá trở lên, chuyên ngành công nghệ thông tin, điện tử viễn thông, an toàn thông tin.', <p>• Thành thạo 1 ngôn ngữ lập trình <b>(ưu tiên Java, Python,…).</b></p>, <p>• Nắm vững về tiêu chuẩn OWASP – top 10 lỗi</p>, <p>• Toeic 550 trở lên hoặc tương đương</p>];https://www.topcv.vn/viec-lam/ky-su-an-toan-thong-tin-he-thong-ung-dung-luong-tu-800-3000/993824.html?ta_source=JobSearchList
Top On Seek (TOS) Ltd.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- kỹ năng tư duy logic và có tư duy lập trình để xem xét và thực hiện phân tích kỹ thuật các yêu cầu của khách hàng và làm việc với các thành viên trong nhóm.', '- có tinh thần trách nhiệm đối với chất lượng và tiến độ dự án tham gia.', '- đóng góp ý tưởng mới để làm ứng dụng tốt và dễ sử dụng hơn.', '\xa0skill:', '- có kiến thức cơ bản về php với các framework như lavarel, cms wordpress …', '- có kiến thức cơ bản về các ngôn ngữ phát triển ui (html/css/js...).', '- (may be not required) có kinh nghiệm và kiến thức về những ngôn ngữ khác (nodejs) \xa0và công nghệ khác là 1 lợi thế.', '- kỹ năng làm việc nhóm, quản lý thời gian là 1 lợi thế rất to lớn mà chúng tôi cần.'];https://www.topcv.vn/viec-lam/thuc-tap-sinh-php-developer/435254.html?ta_source=JobSearchList
